Year,County,IncomeClass,Disclosure,ReturnCount,TotalIncome,TotalDeductions,TotalExemptions,TotalTaxableIncome,TotalTaxBeforeCredits,TotalTaxLiability,Place of Residence Sort Order,Income Class Sort Order
2000, Schenectady ,"30,000 - 39,999",,6708,232698,68853,3714,160131,7859,7704,48,5
2007, Steuben ,"30,000 - 39,999",,4407,153667,51026,3111,99530,4804,3651,52,5
2008, Erie ,Total,,410762,19015634,4214625,205786,14732728,882252,771161,20,14
2000, Schuyler ,"5,000 - 9,999",,882,6493,5668,15,810,32,-92,50,2
1999, Herkimer ,"75,000 - 99,999",,926,78832,12741,1174,64917,3738,3657,27,9
2004, Westchester ,"200,000 and over",,36941,29434645,1637326,52030,27745188,2114426,1948893,61,11
2010,Monroe,"100,000 - 199,999",,30131,3977724,602953,36794,3337977,218314,209953,32,10
2004, Hamilton ,Total,,2534,81761,24680,982,56099,3168,2746,26,12
2004, Allegany ,"Under 5,000",,3078,6116,5821,0,295,12,-198,8,1
2011,Cayuga,"75,000 - 99,999",,2480,214130,38423,2486,173221,10039,9130,11,9
2003, Monroe ,Total,,323449,14244434,3329055,184484,10730897,650119,596937,32,12
2009,Madison,"500,000 and over",,87,99818,2543,125,97150,8655,7023,31,13
2008, Onondaga ,"Under 5,000",,31696,-20548,58856,0,3827,153,-3471,37,1
2005, Hamilton ,"40,000 - 49,999",,189,8462,2599,124,5739,278,267,26,6
2012,Chenango,"75,000 - 99,999",,1385,118865,21174,1345,96346,5394,4958,14,9
2006, Rockland ,"100,000 - 199,999",,19346,2654472,558868,25989,2069599,136338,117855,45,10
2012,Wayne,"200,000 - 249,999",,203,45038,4072,224,40742,2711,2613,60,11
2012,Fulton,"40,000 - 49,999",,1675,74793,20103,1123,53567,2707,2384,23,6
2006, Residence Unknown ++ ,"30,000 - 39,999",,806,28062,9669,461,17932,898,727,66,5
2004, Westchester ,"30,000 - 39,999",,35518,1237899,429922,21079,786896,38875,33645,61,5
2002, Monroe ,"100,000 - 199,999",,21072,2740314,401541,27085,2311688,150531,148869,32,10
2006, Rensselaer ,"75,000 - 99,999",,5961,515711,98097,6160,411455,23802,21824,44,9
2008, Ontario ,"50,000 - 59,999",,2798,153305,38938,2125,112242,5919,5253,38,7
2011,Warren,"200,000 - 249,999",,200,44575,4903,192,39480,2706,2619,58,11
2008, Westchester ,"200,000 - 249,999",,11135,2479868,390116,13618,2076134,142214,131428,61,11
1999, Schuyler ,"75,000 - 99,999",,271,22937,3602,289,19046,1095,1069,50,9
1999, Orange ,"75,000 - 99,999",,11452,986099,185649,15185,785265,45190,42245,39,9
2010,Westchester,"50,000 - 59,999",,23423,1285056,347805,13982,923270,51244,45238,61,7
2008, Wyoming ,"40,000 - 49,999",,1462,65326,17776,1053,46497,2376,2021,62,6
2007, Washington ,"20,000 - 29,999",,3853,95501,40592,2158,52751,2357,877,59,4
2012,Steuben,"10,000 - 19,999",,6748,100372,63673,2565,34135,1388,-1796,52,3
2005, Wyoming ,"60,000 - 74,999",,1382,92334,20361,1616,70358,3783,3594,62,8
2003, Albany ,"20,000 - 29,999",,17347,431585,167642,8645,255298,11542,8365,7,4
2011,Oneida,"75,000 - 99,999",,6672,575286,103867,6491,464928,26999,25095,36,9
2002, Yates ,"50,000 - 59,999",,590,32145,8169,757,23220,1172,1074,63,7
1999, Residence Unknown ++ ,"20,000 - 29,999",,1642,40477,16239,880,23357,1051,916,66,4
2011,Seneca,"40,000 - 49,999",,1131,50792,13792,776,36225,1861,1603,51,6
2011,Saratoga,"20,000 - 29,999",,10546,261553,108586,4500,148467,6707,3210,47,4
2012,Saratoga,"30,000 - 39,999",,8652,301289,94131,3986,203173,9976,8055,47,5
2005, NYS Unclassified + ,"Under 5,000",,1578,3059,2856,0,189,8,-21,65,1
2002, Fulton ,"200,000 and over",,121,66500,2428,128,63944,4380,3847,23,11
2008, Franklin ,"Under 5,000",,3417,-4307,5358,0,303,12,-461,22,1
2002,"Grand Total, Full-Year Resident","100,000 - 199,999",,533802,70735704,11036752,590167,59108722,3874332,3746124,67,10
2012,Rockland,"250,000 - 499,999",,3752,1232536,125843,5483,1101210,74319,61426,45,12
2005, Essex ,"30,000 - 39,999",,1623,56550,18768,988,36786,1772,1527,21,5
2009,Ontario,"100,000 - 199,999",,4305,564561,86074,5484,473003,30858,29416,38,10
2003, Saratoga ,Total,,94204,4720167,1006060,53759,3660349,224208,209994,47,12
2007, Schenectady ,"30,000 - 39,999",,7403,257113,80595,4009,172510,8581,7056,48,5
2012,Onondaga,"75,000 - 99,999",,15746,1364208,247845,14541,1101822,62244,58260,37,9
2000, Clinton ,"100,000 - 199,999",,985,125495,15308,1122,109065,7066,6904,15,10
2010,New York City - Bronx,"200,000 - 249,999",,1063,234603,24888,1090,208625,14310,13710,1,11
2008, New York City - Richmond ,"40,000 - 49,999",,14736,661720,195241,9199,457281,24157,20793,5,6
2004, Suffolk ,"200,000 and over",,22427,12373152,698608,27594,11646982,881932,854591,53,11
2011,Broome,"5,000 - 9,999",,8979,66754,56997,142,9615,385,-1482,9,2
2000, Nassau ,"100,000 - 199,999",,75605,10153675,1654970,91172,8407514,551907,543919,34,10
2006, Franklin ,"10,000 - 19,999",,3329,49411,32403,1339,15668,637,-824,22,3
2012,New York City - Bronx,"200,000 - 249,999",,1160,256517,26233,1204,229080,15263,14659,1,11
2003, Fulton ,"40,000 - 49,999",,1719,76876,22062,1426,53389,2632,2563,23,6
2009,Nassau,"30,000 - 39,999",,49179,1714188,656906,26517,1030765,51055,37774,34,5
2003, Schoharie ,"20,000 - 29,999",,1764,43948,18654,1119,24175,1074,741,49,4
2009,Delaware,"50,000 - 59,999",,1088,59576,15302,847,43427,2283,2013,18,7
2010,Schuyler,"50,000 - 59,999",,520,28465,6906,398,21161,1119,980,50,7
2000, Dutchess ,"10,000 - 19,999",,16264,240606,144701,5206,90685,3700,1171,19,3
2005, New York City - Bronx ,Total,,490480,14669534,4850812,338610,9479641,527299,337172,1,12
2007, Niagara ,"50,000 - 59,999",,5546,304069,74810,4503,224756,11847,10592,35,7
2003, Sullivan ,"200,000 and over",,276,151984,20420,198,131366,9994,9255,54,11
2006, New York City - Manhattan ,"Under 5,000",,87802,153473,149104,2,4472,179,-17835,3,1
2010,Cattaraugus,"250,000 - 499,999",,119,39017,3349,139,35528,2620,2226,10,12
2009,Essex,"200,000 - 249,999",,53,11655,1546,36,10073,690,639,21,11
2002, Suffolk ,"40,000 - 49,999",,50786,2275791,683464,34514,1557809,80628,78739,53,6
2010,Putnam,"500,000 and over",,320,400989,9593,410,390985,34928,32197,43,13
2010,Jefferson,"20,000 - 29,999",,5621,138619,59227,3525,75868,3378,877,28,4
2002, Otsego ,"50,000 - 59,999",,1394,76386,19216,1422,55747,2838,2753,42,7
2010,Chemung,Total,,37790,1595723,382913,19402,1200897,73161,60407,13,14
2004, Saratoga ,"30,000 - 39,999",,9075,316121,98911,4627,212583,10487,9929,47,5
2006, Washington ,"10,000 - 19,999",,4344,64719,41455,1548,21715,885,-796,59,3
2012,Genesee,"30,000 - 39,999",,2628,91529,28114,1484,61930,3016,2257,24,5
2009,Greene,Total,,21002,860017,219325,10186,642966,38711,33334,25,14
2001, Cayuga ,"100,000 - 199,999",,899,111128,14457,1109,95562,6141,5961,11,10
2004, Broome ,"50,000 - 59,999",,4908,268623,64361,4239,200023,10473,10136,9,7
2010,Tompkins,"500,000 and over",,145,189512,9722,169,179621,16034,14365,56,13
2003, Genesee ,"Under 5,000",,4736,9415,8837,0,577,23,-254,24,1
2006, Otsego ,"60,000 - 74,999",,1660,110806,25410,1566,83830,4555,4140,42,8
2001, Chenango ,"60,000 - 74,999",,1149,76720,15457,1319,59944,3241,3141,14,8
2008, Genesee ,"Under 5,000",,4531,-1983,8189,0,526,21,-321,24,1
2007, Oswego ,"75,000 - 99,999",,3882,335074,61224,4216,269635,15569,14433,41,9
2009,Chemung,"75,000 - 99,999",,2667,230433,42177,2839,185417,10722,9782,13,9
2011,New York City - Richmond,"30,000 - 39,999",,16457,573297,195259,11180,366858,18054,12938,5,5
2009,Sullivan,"100,000 - 199,999",,2511,324531,56505,2807,265219,17254,16216,54,10
2011,New York City - Queens,"100,000 - 199,999",,70327,9292694,1376872,68618,7847204,516310,497181,4,10
1999, Rockland ,"100,000 - 199,999",,15007,1999958,332748,19854,1647356,107865,97568,45,10
1999, New York City - Queens ,"Under 5,000",,104042,243592,235314,2,8188,328,-3030,4,1
1999, Oneida ,Total,,97323,3246643,879177,52602,2314855,128723,120209,36,12
2004, Nassau ,"40,000 - 49,999",,45081,2020841,647644,26669,1346527,70552,67086,34,6
2007, Chenango ,"60,000 - 74,999",,1486,99695,22119,1527,76049,4128,3653,14,8
2009,Sullivan,"500,000 and over",,60,58414,1648,36,56730,5081,4133,54,13
1999, Onondaga ,"100,000 - 199,999",,10687,1381758,181160,13471,1187127,77239,76628,37,10
2000, Monroe ,"50,000 - 59,999",,20132,1104434,249034,18162,837231,44157,43692,32,7
2004, New York City - Bronx ,"Under 5,000",,58404,119250,116572,2,2674,107,-4415,1,1
2008, Erie ,"40,000 - 49,999",,28768,1288771,332932,16467,939371,49452,44647,20,6
2011,Erie,"75,000 - 99,999",,31632,2737165,488445,30891,2217830,129407,121294,20,9
1999, New York City - Queens ,"20,000 - 29,999",,129334,3213565,1354600,96725,1762240,77471,62638,4,4
2010,Warren,Total,,31688,1373538,336716,14522,1079135,67887,57966,58,14
2010,Putnam,"50,000 - 59,999",,2485,136375,39686,1518,95171,5198,4501,43,7
2012,New York City - Queens,"100,000 - 199,999",,73068,9667647,1473959,70126,8123562,511092,491753,4,10
2010,Orleans,"Under 5,000",,2850,136,4493,0,226,9,-243,40,1
2001, Chemung ,"Under 5,000",,6005,13131,12457,0,674,27,-183,13,1
2001,"Grand Total, Full-Year Resident","60,000 - 74,999",,515464,34546005,7308095,475515,26762401,1497019,1466090,67,8
1999, Orleans ,"40,000 - 49,999",,1518,67903,18235,1673,47995,2339,2301,40,6
2010,NYS Unclassified +,"10,000 - 19,999",d/,,,,,,,,65,3
2012,Cayuga,"200,000 - 249,999",,160,35596,3592,132,31872,2122,1891,11,11
2007, New York City - Bronx ,"20,000 - 29,999",,81015,2014770,841039,77612,1096119,47900,-12689,1,4
2001, Montgomery ,"Under 5,000",,3567,7845,7429,0,416,17,-232,33,1
2002, Essex ,"75,000 - 99,999",,796,67668,12268,896,54504,3130,3010,21,9
2011,Niagara,"30,000 - 39,999",,9448,327978,101907,5257,220814,10913,8539,35,5
1999, Madison ,"30,000 - 39,999",,3084,107251,33836,2595,70820,3344,3159,31,5
2000, Dutchess ,"60,000 - 74,999",,9686,651892,136305,10463,505124,27876,26964,19,8
2005, Oswego ,"40,000 - 49,999",,3870,173353,48836,3390,121126,6073,5854,41,6
2002, New York City - Kings ,"100,000 - 199,999",,30603,4020006,586343,32649,3401015,223072,216162,2,10
2009,Schuyler,"250,000 - 499,999",,25,7793,604,19,7170,515,447,50,12
2012,Columbia,"20,000 - 29,999",,3441,85435,36144,1710,47581,2133,763,16,4
2007, Steuben ,"20,000 - 29,999",,5257,129844,57166,3453,69225,3069,869,52,4
2003, Onondaga ,"75,000 - 99,999",,15134,1305768,236213,18557,1050998,60691,59453,37,9
2005, Schenectady ,"30,000 - 39,999",,6984,242144,75674,3844,162611,8042,7441,48,5
2006, New York City - Richmond ,"200,000 and over",,4895,2103227,139386,5544,1958297,134142,120112,5,11
2007, Essex ,"60,000 - 74,999",,1117,74988,16642,1022,57324,3129,2748,21,8
2012,St. Lawrence,"60,000 - 74,999",,2816,189356,38145,2406,148805,8089,7353,46,8
2008, Broome ,"40,000 - 49,999",,6440,288779,76514,4008,208257,10797,9591,9,6
2005, Schuyler ,"20,000 - 29,999",,1020,25364,11069,621,13674,605,387,50,4
2007, Madison ,"5,000 - 9,999",,2796,20507,16876,52,3578,143,-397,31,2
2012,NYS Unclassified +,"50,000 - 59,999",,53,2903,835,32,2036,110,102,65,7
2012,Essex,"40,000 - 49,999",,1208,54103,14508,714,38881,1974,1650,21,6
2006, Broome ,"30,000 - 39,999",,8259,286951,93524,4789,188637,9206,7269,9,5
2000, St. Lawrence ,"100,000 - 199,999",,1072,133965,16481,1299,116183,7493,7383,46,10
2002, Herkimer ,"50,000 - 59,999",,1644,90003,22354,1695,65954,3347,3237,27,7
2004, Otsego ,"10,000 - 19,999",,4353,64994,41822,1520,21652,881,-444,42,3
2000, Washington ,"75,000 - 99,999",,1068,91101,15014,1268,74819,4299,4043,59,9
2007, Jefferson ,"250,000 - 499,999",,208,69750,4663,219,64867,4443,3978,28,12
2009,Franklin,"200,000 - 249,999",,38,8465,827,39,7599,521,514,22,11
2000, Hamilton ,Total,,2570,75124,23584,1032,50508,2716,2557,26,12
2004, Cattaraugus ,"50,000 - 59,999",,1988,108898,27594,1960,79344,4042,3784,10,7
2011,Essex,"100,000 - 199,999",,921,117086,17513,928,98645,6394,5871,21,10
2011,Genesee,"75,000 - 99,999",,2113,182801,33162,2181,147459,8513,7806,24,9
2006, Saratoga ,"40,000 - 49,999",,7344,329210,89923,4290,234996,12256,11025,47,6
2001, Cortland ,Total,,19318,640636,182549,11097,446989,24292,21857,17,12
2000, Ulster ,"10,000 - 19,999",,13068,193490,119399,4535,69543,2831,635,57,3
2009,Dutchess,"Under 5,000",,18717,-67507,30618,2,1958,78,-1534,19,1
2003, NYS Unclassified + ,"10,000 - 19,999",,452,6552,3874,96,2581,105,18,65,3
2006, Schoharie ,"Under 5,000",,2064,3796,3577,0,219,9,-185,49,1
2003, Fulton ,"10,000 - 19,999",,4167,62446,39928,1768,20750,844,-484,23,3
2009,Residence Unknown ++,"30,000 - 39,999",,753,26219,9300,356,16563,844,687,66,5
2011,"Grand Total, Full-Year Resident","200,000 - 249,999",,108796,24157645,2886137,115147,21156361,1451482,1378498,67,11
2003, Orleans ,"10,000 - 19,999",,2985,44816,28359,1298,15159,617,-368,40,3
2001, St. Lawrence ,"30,000 - 39,999",,4113,143241,46737,3431,93074,4377,4183,46,5
2009,Franklin,"50,000 - 59,999",,1140,62579,14964,862,46753,2490,2236,22,7
2003, Wyoming ,"20,000 - 29,999",,2294,56948,24182,1329,31437,1399,933,62,4
2001, Columbia ,"60,000 - 74,999",,1888,126426,25721,1882,98823,5414,5035,16,8
2010,"Grand Total, Full-Year Resident","60,000 - 74,999",,551121,36995584,8213042,400574,28381968,1616720,1495589,67,8
2012,Suffolk,Total,,713359,53004737,10059166,414423,43430252,2865908,2655184,53,14
2004, Erie ,"30,000 - 39,999",,37259,1294480,399479,21920,873081,43024,40480,20,5
2011,Warren,"10,000 - 19,999",,5014,74655,46574,1643,26438,1078,-724,58,3
2012,Jefferson,"50,000 - 59,999",,2320,127172,30653,1902,94617,4912,4331,28,7
2012,Erie,"50,000 - 59,999",,22576,1238295,277598,13857,946840,50519,46536,20,7
2002, New York City - Manhattan ,"30,000 - 39,999",,72912,2541164,756892,38004,1746262,88418,82138,3,5
1999, Montgomery ,"10,000 - 19,999",,4428,66085,41180,1856,23049,937,63,33,3
2012,NYS Unclassified +,"40,000 - 49,999",,60,2677,786,27,1864,97,88,65,6
2001, Steuben ,"5,000 - 9,999",,4741,35090,30535,100,4455,178,-505,52,2
2006, Greene ,"75,000 - 99,999",,1552,133120,25043,1613,106464,6171,5734,25,9
2005, Clinton ,"60,000 - 74,999",,2281,152821,32876,2300,117644,6396,6140,15,8
2005, Broome ,"200,000 and over",,1021,442510,23879,1165,417464,31124,22623,9,11
2004, Columbia ,"5,000 - 9,999",,2697,19839,16669,24,3147,126,-244,16,2
2001, Ulster ,"100,000 - 199,999",,4112,530032,73392,4715,451925,29402,28683,57,10
2011,Suffolk,"75,000 - 99,999",,60470,5254189,1259769,55210,3939210,230537,217523,53,9
2012,Genesee,"60,000 - 74,999",,2011,135238,28408,1783,105046,5656,5086,24,8
2006, Seneca ,"100,000 - 199,999",,613,77616,11372,650,65594,4239,3789,51,10
2000, St. Lawrence ,"5,000 - 9,999",,4965,36767,32103,80,4584,183,-565,46,2
1999, New York City - Bronx ,"40,000 - 49,999",,29693,1321645,334310,27076,960259,50077,48492,1,6
2011,Lewis,Total,,10182,382310,103218,5889,281666,16203,12070,29,14
2001, Dutchess ,"40,000 - 49,999",,9108,408145,109149,6562,292434,15088,14456,19,6
2011,Broome,"50,000 - 59,999",,4991,273141,65147,3434,204560,11006,9874,9,7
2002, NYS Unclassified + ,"50,000 - 59,999",,381,20811,4434,243,16134,895,865,65,7
2012,Residence Unknown ++,"Under 5,000",,1077,-203639,1176,1,45,2,-76,66,1
2007, Greene ,"200,000 - 249,999",,92,20493,2494,103,17896,1226,1193,25,11
2001, Tompkins ,"75,000 - 99,999",,2275,195458,33713,2369,159376,9247,9123,56,9
2005, Seneca ,"30,000 - 39,999",,1459,50701,16489,1103,33108,1599,1407,51,5
2006, Wayne ,"60,000 - 74,999",,3268,219334,49813,3497,166025,8985,8009,60,8
2012,Putnam,"50,000 - 59,999",,2470,135844,38013,1376,96456,5151,4442,43,7
2003, Ontario ,"40,000 - 49,999",,3560,159303,45110,3004,111188,5552,5302,38,6
1999, Suffolk ,"40,000 - 49,999",,48351,2166766,608603,35842,1522320,78054,77369,53,6
2012,Otsego,"250,000 - 499,999",,226,75614,5156,226,70232,4756,4612,42,12
2002, Onondaga ,"50,000 - 59,999",,11746,644537,151896,10633,482009,25411,24783,37,7
2012,Herkimer,"500,000 and over",,40,78059,1577,22,76460,6300,5789,27,13
1999, Oswego ,"200,000 and over",,150,136789,3003,180,133606,9152,7280,41,11
2007, Schuyler ,"20,000 - 29,999",,1055,26038,11111,610,14317,638,268,50,4
2012,Columbia,"500,000 and over",,171,296918,11641,109,285168,22939,20336,16,13
2002, Schoharie ,Total,,12799,421373,123937,6910,290526,15765,14053,49,12
2007, Franklin ,"30,000 - 39,999",,1933,67117,22349,1309,43459,2096,1556,22,5
2005, Orange ,"60,000 - 74,999",,11430,769519,198376,11842,559301,30863,28756,39,8
2008, Clinton ,"75,000 - 99,999",,2681,231931,43308,2883,185740,10722,9763,15,9
2006, Nassau ,"200,000 and over",,44068,31067410,1798198,58124,29211106,2000951,1891862,34,11
2007, Delaware ,"60,000 - 74,999",,1247,83687,19014,1111,63562,3463,3107,18,8
2007, New York City - Kings ,"50,000 - 59,999",,57733,3155898,746182,41621,2368095,131837,119275,2,7
2010,Cortland,"500,000 and over",,23,36870,571,28,36272,3248,2713,17,13
2008, Putnam ,"5,000 - 9,999",,3317,24176,18614,16,5546,222,-66,43,2
2006, Chemung ,"5,000 - 9,999",,4089,30301,26144,62,4095,164,-737,13,2
2007, Nassau ,"40,000 - 49,999",,44034,1974824,658346,22688,1293788,68512,60764,34,6
2010,Cattaraugus,"75,000 - 99,999",,2048,177092,32056,2033,143002,8259,7354,10,9
2008, Schoharie ,"200,000 - 249,999",,35,7707,754,24,6928,475,463,49,11
2004, Essex ,"100,000 - 199,999",,556,70852,10204,577,60071,3927,3726,21,10
2009,Erie,"75,000 - 99,999",,31019,2681065,493389,32005,2155672,125255,116867,20,9
2002, Onondaga ,"60,000 - 74,999",,14141,949788,197533,15293,736962,40418,39788,37,8
2007, St. Lawrence ,"50,000 - 59,999",,2631,144379,35285,2327,106767,5617,4948,46,7
1999, New York City - Manhattan ,"40,000 - 49,999",,55949,2501523,557393,20449,1923682,105975,103996,3,6
2000, Rensselaer ,"5,000 - 9,999",,7157,52704,43806,98,8800,352,-480,44,2
2002, Allegany ,"75,000 - 99,999",,819,69873,12041,1034,56798,3261,3179,8,9
2005, Erie ,"40,000 - 49,999",,28531,1278992,340210,20237,918544,47365,45652,20,6
2002, Albany ,"5,000 - 9,999",,13249,97266,81550,124,15592,624,-1213,7,2
2003, Wayne ,"30,000 - 39,999",,4226,147025,48684,3300,95041,4536,4251,60,5
1999, Schenectady ,"5,000 - 9,999",,7566,55686,47997,57,7625,305,-479,48,2
2004, Seneca ,"30,000 - 39,999",,1542,53630,17534,1135,34961,1682,1530,51,5
2004, New York City - Kings ,Total,,915264,34007963,9570867,550237,23886897,1436254,1146637,2,12
1999, Jefferson ,"40,000 - 49,999",,3044,136046,36609,3081,96356,4696,4593,28,6
2002, Franklin ,"30,000 - 39,999",,1873,65115,21264,1488,42363,2021,1872,22,5
2005, Rensselaer ,"60,000 - 74,999",,5021,337335,72437,4511,260387,14385,13695,44,8
2007, Wyoming ,"200,000 - 249,999",,44,9795,838,56,8901,610,589,62,11
1999, Delaware ,Total,,19195,570872,173767,9901,387203,21072,18862,18,12
2011,Albany,"10,000 - 19,999",,18994,280436,171198,6266,102972,4201,-3286,7,3
2011,Suffolk,"Under 5,000",,99784,-637828,155051,4,10446,418,-3643,53,1
2011,St. Lawrence,"40,000 - 49,999",,2964,132856,36009,2152,94695,4849,4103,46,6
2001, Montgomery ,"50,000 - 59,999",,1194,65480,15295,1186,49000,2514,2443,33,7
2010,Warren,"10,000 - 19,999",,5098,75522,47504,1499,26520,1080,-664,58,3
2010,Niagara,"75,000 - 99,999",,7459,644204,118010,7712,518482,30000,27930,35,9
2001,"Grand Total, Full-Year Resident","200,000 and over",,203001,139179512,7693021,212782,131266774,8991758,8507936,67,11
2004, Tompkins ,"60,000 - 74,999",,2314,155304,33687,2076,119542,6570,6399,56,8
2000, Ontario ,"200,000 and over",,618,282813,17187,699,264927,18147,17688,38,11
2009,Chenango,"60,000 - 74,999",,1371,92142,20104,1332,70706,3862,3487,14,8
2008, Hamilton ,"250,000 - 499,999",,12,3939,216,8,3715,254,244,26,12
2003, Warren ,"200,000 and over",,418,214797,13931,399,200467,15255,14317,58,11
2008, Herkimer ,"200,000 - 249,999",,55,12188,1245,66,10876,745,738,27,11
2000, Sullivan ,"40,000 - 49,999",,2166,97102,26008,1954,69140,3474,3354,54,6
2009,Columbia,"100,000 - 199,999",,2311,302019,48628,2349,251042,16391,15256,16,10
2008, Nassau ,"5,000 - 9,999",,48851,360834,291101,555,69178,2768,-3486,34,2
2006, Broome ,"20,000 - 29,999",,11358,280682,117851,6203,156628,7020,3456,9,4
2011,Erie,"30,000 - 39,999",,39167,1360025,407084,19688,933253,46755,37337,20,5
2001, Schoharie ,"20,000 - 29,999",,1830,45465,18874,1191,25400,1123,888,49,4
2003, St. Lawrence ,"20,000 - 29,999",,5087,126090,55837,3602,66650,2930,1845,46,4
2011,Albany,Total,,140676,7677295,1496213,65833,6190794,407588,368534,7,14
2002, Yates ,"60,000 - 74,999",,585,39065,8321,686,30058,1618,1537,63,8
2012,Schoharie,"40,000 - 49,999",,1005,44966,12423,653,31890,1606,1358,49,6
2004, Dutchess ,"100,000 - 199,999",,14037,1844616,298385,18151,1528082,100597,95972,19,10
2007, Chenango ,"10,000 - 19,999",,3817,56674,36615,1466,18594,756,-907,14,3
2000, Essex ,"40,000 - 49,999",,1329,59640,15945,1183,42513,2098,1978,21,6
2007, Erie ,Total,,423165,19842782,4324445,213713,15304699,918031,796608,20,14
2004, Rensselaer ,Total,,68145,2834966,688003,36242,2110718,123466,111533,44,12
2005, Broome ,"Under 5,000",,15003,30420,28740,0,1632,65,-1872,9,1
2004, New York City - Richmond ,"40,000 - 49,999",,16055,720178,209997,10632,499550,26173,24347,5,6
